               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033959,            0.011205,            0.016803,             0.85173,             0.86557,             0.89556,              0.6295,            0.023093,           0.0044215,           0.0085806,            0.006535,            0.006535,            0.006535
                  37,            0.034328,            0.011106,             0.01694,             0.86405,             0.84002,              0.8843,             0.61124,             0.02412,           0.0044787,           0.0081509,            0.006436,            0.006436,            0.006436
                  38,            0.034076,            0.010944,            0.015845,             0.85478,             0.85052,             0.90738,             0.64514,            0.022647,             0.00447,           0.0084855,            0.006337,            0.006337,            0.006337
                  39,            0.033519,            0.011111,            0.015884,             0.91008,               0.838,             0.90779,             0.65141,            0.023314,           0.0043524,           0.0074077,            0.006238,            0.006238,            0.006238
                  40,            0.033527,            0.010912,            0.015716,              0.8693,             0.83619,             0.89559,             0.64227,            0.022723,           0.0044153,            0.008284,            0.006139,            0.006139,            0.006139
                  41,            0.033521,             0.01103,            0.014893,             0.87803,             0.86219,             0.90342,             0.64936,            0.022699,           0.0042278,           0.0082543,             0.00604,             0.00604,             0.00604
                  42,            0.032749,             0.01083,            0.014535,             0.83632,             0.90889,             0.91236,             0.66156,            0.021612,           0.0042583,           0.0069925,            0.005941,            0.005941,            0.005941
                  43,            0.032552,            0.010867,             0.01489,             0.91699,              0.8623,             0.91986,             0.65498,            0.022809,           0.0042961,           0.0064342,            0.005842,            0.005842,            0.005842
                  44,            0.032489,            0.010614,            0.013686,             0.81435,             0.88554,             0.90267,             0.67117,            0.021951,           0.0043372,           0.0083679,            0.005743,            0.005743,            0.005743
                  45,            0.032667,            0.010797,            0.014344,             0.85771,              0.8967,              0.9115,             0.64119,            0.022317,           0.0042752,           0.0059605,            0.005644,            0.005644,            0.005644
                  46,            0.031695,             0.01064,            0.013461,             0.85867,              0.8929,             0.90101,             0.65731,            0.021381,           0.0042752,           0.0073713,            0.005545,            0.005545,            0.005545
                  47,            0.032465,             0.01054,            0.013404,             0.89933,             0.89223,             0.93137,             0.65505,            0.021816,           0.0041657,           0.0060476,            0.005446,            0.005446,            0.005446
                  48,            0.031772,            0.010651,            0.013543,              0.9031,             0.90741,             0.92607,             0.68584,             0.02182,           0.0042381,           0.0066933,            0.005347,            0.005347,            0.005347
                  49,            0.031263,            0.010652,            0.013254,             0.83542,             0.87198,             0.88703,             0.66481,             0.02103,            0.004422,            0.006461,            0.005248,            0.005248,            0.005248
                  50,            0.031285,            0.010548,            0.012732,             0.93195,             0.88539,             0.92139,              0.6941,            0.020608,           0.0041803,           0.0061389,            0.005149,            0.005149,            0.005149
                  51,            0.031017,            0.010373,            0.012793,             0.87423,             0.90545,             0.89606,             0.66194,            0.021283,           0.0042485,           0.0065476,             0.00505,             0.00505,             0.00505
                  52,            0.031002,            0.010389,            0.012607,             0.89953,             0.87859,             0.91799,             0.68086,            0.021457,           0.0040989,           0.0071548,            0.004951,            0.004951,            0.004951
                  53,            0.030805,            0.010257,            0.012288,             0.93356,             0.87545,             0.92431,             0.69247,            0.020545,           0.0041298,            0.005842,            0.004852,            0.004852,            0.004852
                  54,            0.030462,            0.010338,            0.012261,             0.93499,             0.92696,              0.9541,             0.71197,            0.020706,           0.0040975,           0.0059428,            0.004753,            0.004753,            0.004753
                  55,            0.030717,            0.010225,            0.011917,             0.87756,             0.91426,              0.9332,             0.69798,            0.019994,           0.0041286,           0.0060961,            0.004654,            0.004654,            0.004654
                  56,             0.03055,            0.010253,             0.01224,             0.87753,             0.90554,             0.90179,             0.66921,            0.020395,           0.0042125,           0.0061157,            0.004555,            0.004555,            0.004555
                  57,             0.03015,             0.01019,            0.011774,             0.93767,             0.90314,             0.93937,             0.71269,            0.020457,           0.0040733,           0.0056482,            0.004456,            0.004456,            0.004456
                  58,            0.029739,            0.010147,            0.010905,             0.90063,              0.8908,             0.94584,             0.72215,            0.019704,           0.0039995,           0.0059443,            0.004357,            0.004357,            0.004357
                  59,            0.029464,            0.010165,            0.011625,             0.91723,             0.89716,              0.9462,             0.70527,            0.020056,           0.0041344,           0.0057479,            0.004258,            0.004258,            0.004258
                  60,            0.029892,            0.010173,            0.011592,             0.91529,             0.93105,             0.96153,             0.70626,            0.020174,           0.0040354,           0.0063558,            0.004159,            0.004159,            0.004159
                  61,            0.029026,            0.010314,            0.011041,             0.92084,             0.90935,             0.93557,             0.68582,            0.020805,           0.0040244,           0.0060536,             0.00406,             0.00406,             0.00406
                  62,            0.028723,           0.0099325,            0.010733,             0.91314,             0.90858,             0.94571,             0.71262,            0.019989,           0.0039843,           0.0055949,            0.003961,            0.003961,            0.003961
                  63,            0.028966,           0.0099522,            0.010815,             0.91421,             0.92603,             0.94506,             0.71744,            0.019313,           0.0039953,           0.0062782,            0.003862,            0.003862,            0.003862
                  64,            0.028645,           0.0099832,            0.010373,             0.93743,             0.91131,             0.94796,             0.72871,            0.019097,           0.0039756,            0.005825,            0.003763,            0.003763,            0.003763
                  65,             0.02882,           0.0098451,            0.010277,             0.91322,             0.87909,             0.93676,             0.69495,            0.020089,           0.0040987,           0.0056874,            0.003664,            0.003664,            0.003664
                  66,            0.028365,           0.0098745,            0.010322,             0.92284,             0.94543,             0.96048,             0.73924,            0.019228,           0.0040113,           0.0054892,            0.003565,            0.003565,            0.003565
                  67,            0.028254,           0.0097835,           0.0099499,             0.94987,             0.91721,             0.96303,             0.73382,             0.01872,           0.0039498,           0.0049359,            0.003466,            0.003466,            0.003466
                  68,            0.027685,           0.0098287,            0.010468,             0.92699,             0.91884,             0.95934,             0.72411,            0.019305,           0.0039265,           0.0060648,            0.003367,            0.003367,            0.003367
                  69,            0.027813,           0.0096853,           0.0099209,             0.94701,             0.92073,             0.95986,             0.73395,            0.019116,            0.004011,            0.004711,            0.003268,            0.003268,            0.003268
                  70,            0.027657,           0.0097584,           0.0096941,             0.94285,             0.90228,             0.94611,             0.72725,            0.019103,           0.0039913,           0.0050558,            0.003169,            0.003169,            0.003169
                  71,            0.027347,           0.0096372,           0.0095689,              0.9333,             0.90827,             0.94838,             0.72298,            0.019237,           0.0039628,           0.0049432,             0.00307,             0.00307,             0.00307
                  72,             0.02721,           0.0095738,             0.00997,             0.92839,              0.9147,             0.94972,             0.72699,            0.019128,           0.0038704,           0.0056069,            0.002971,            0.002971,            0.002971
                  73,            0.027206,           0.0095383,           0.0094987,             0.91819,             0.93109,             0.95597,             0.72816,            0.018627,           0.0039575,           0.0055685,            0.002872,            0.002872,            0.002872
                  74,            0.026798,           0.0092319,           0.0097252,             0.91825,             0.91136,             0.94704,             0.72951,            0.018745,           0.0039072,           0.0049049,            0.002773,            0.002773,            0.002773
                  75,            0.026636,           0.0094453,           0.0091509,             0.89076,             0.89897,             0.93203,             0.71612,            0.018869,            0.003924,           0.0060733,            0.002674,            0.002674,            0.002674
                  76,            0.026418,           0.0094241,            0.008945,             0.93774,             0.93676,              0.9582,             0.74361,            0.018616,           0.0038851,           0.0057698,            0.002575,            0.002575,            0.002575
